Pos,Player,Inns,Overs,Runs,Wkts,Avg,Econ,SR,4w,5w,Cluster_num
1,JA Morkel,87,286,2256.0,86,29.689202707623764,286,19.9534883721,2,0,2
2,T Thushara,6,23,152.0,10,16.38095238095238,23,13.8,1,0,1
3,V Sehwag,15,22,233.0,5,inf,22,26.4,0,0,1
4,CR Brathwaite,10,29,246.0,10,42.555555555555564,29,17.4,0,0,1
5,Shivam Sharma,5,19,165.0,4,42.16666666666667,19,28.5,0,0,1
6,GB Hogg,21,76,552.0,18,inf,76,25.3333333333,0,0,3
7,GD McGrath,14,54,352.0,13,27.07692307692308,54,24.9230769231,1,0,3
8,CK Kapugedera,3,2,49.0,0,inf,2,0.0,0,0,1
9,A Singh,23,77,603.0,30,19.213888888888892,77,15.4,1,0,3
10,M Kartik,55,191,1341.0,30,78.64285714285714,191,38.2,1,0,0
11,Iqbal Abdulla,48,152,1083.0,34,inf,152,26.8235294118,0,0,0
12,SK Warne,54,199,1408.0,41,35.07007575757575,199,29.121951219499998,1,0,0
13,JDS Neesham,4,9,88.0,1,88.0,9,54.0,0,0,1
14,MC Henriques,55,147,1212.0,40,43.54489795918367,147,22.05,0,0,0
15,S Nadeem,53,185,1295.0,28,inf,185,39.6428571429,0,0,0
16,Kamran Khan,9,27,228.0,14,inf,27,11.5714285714,1,1,1
17,KW Richardson,14,53,431.0,17,31.222222222222214,53,18.705882352899998,0,0,3
18,PC Valthaty,10,25,199.0,6,inf,25,25.0,0,0,1
19,Umar Gul,6,24,166.0,11,15.090909090909092,24,13.090909090899999,0,0,1
20,B Chipli,1,1,20.0,0,inf,1,0.0,0,0,1
21,Jaskaran Singh,7,17,162.0,5,inf,17,20.4,0,0,1
22,B Lee,38,146,1042.0,28,inf,146,31.285714285700003,0,0,0
23,AM Nayar,19,38,311.0,9,inf,38,25.3333333333,0,0,3
24,PP Ojha,90,314,2261.0,82,inf,314,22.975609756100003,0,0,2
25,DL Chahar,5,12,110.0,1,inf,12,72.0,0,0,1
26,JH Kallis,89,290,2222.0,67,46.3952234065016,290,25.970149253699997,0,0,2
27,MM Patel,63,224,1670.0,74,30.092118001046572,224,18.1621621622,2,1,2
28,DE Bollinger,27,96,663.0,39,16.935185185185187,96,14.7692307692,2,0,3
29,LRPL Taylor,2,2,23.0,0,inf,2,0.0,0,0,1
30,CH Gayle,37,90,675.0,14,inf,90,38.5714285714,0,0,3
31,SS Sarkar,2,4,34.0,1,34.0,4,24.0,0,0,1
32,SP Narine,81,321,1999.0,80,32.27750544662309,321,24.075,4,1,2
33,BAW Mendis,10,40,295.0,7,44.08333333333334,40,34.2857142857,0,0,3
34,RA Tripathi,1,1,12.0,0,inf,1,0.0,0,0,1
35,CJ Anderson,19,40,387.0,8,45.41666666666666,40,30.0,0,0,3
36,P Negi,36,104,774.0,26,inf,104,24.0,1,0,0
37,GR Napier,1,4,27.0,1,27.0,4,24.0,0,0,1
38,L Balaji,73,249,1952.0,82,23.91081537510109,249,18.2195121951,3,1,2
39,J Suchith,13,41,359.0,8,inf,41,30.75,0,0,3
40,SL Malinga,110,424,2766.0,155,19.077301793923308,424,16.4129032258,6,1,4
41,AS Rajpoot,11,29,226.0,6,38.444444444444436,29,29.0,0,0,1
42,Sachin Baby,2,1,8.0,3,2.6666666666666665,1,2.0,0,0,1
43,Abdur Razzak,1,2,23.0,0,inf,2,0.0,0,0,1
44,DJG Sammy,19,39,341.0,14,inf,39,16.7142857143,0,1,3
45,JR Hopes,20,60,539.0,12,46.3,60,30.0,0,0,3
46,KP Pietersen,13,29,205.0,8,34.43333333333333,29,21.75,0,0,1
47,Rashid Khan,14,54,352.0,13,27.07692307692308,54,24.9230769231,0,0,3
48,DL Vettori,34,128,870.0,28,31.708333333333336,128,27.4285714286,1,0,0
49,KH Pandya,24,71,492.0,14,35.4375,71,30.4285714286,0,0,3
50,M Manhas,3,7,42.0,0,inf,7,0.0,0,0,1
51,S Sriram,2,3,49.0,0,inf,3,0.0,0,0,1
52,A Mishra,126,439,3191.0,103,35.425548552754435,439,25.572815534,2,0,4
53,RA Jadeja,112,318,2457.0,70,41.50081958709409,318,27.2571428571,1,0,2
54,TS Mills,5,18,144.0,4,36.0,18,27.0,0,0,1
55,P Prasanth,1,1,18.0,0,inf,1,0.0,0,0,1
56,AN Ahmed,17,58,467.0,14,inf,58,24.8571428571,0,0,3
57,BMAJ Mendis,2,5,36.0,0,inf,5,0.0,0,0,1
58,Y Venugopal Rao,20,36,329.0,6,inf,36,36.0,0,0,3
59,JP Duminy,47,109,766.0,18,inf,109,36.3333333333,0,0,0
60,RR Raje,10,22,200.0,7,44.58333333333334,22,18.8571428571,0,0,1
61,DJ Hussey,26,53,467.0,9,inf,53,35.3333333333,0,0,3
62,MG Johnson,48,184,1424.0,63,24.567061923583665,184,17.5238095238,1,0,0
63,SM Pollock,13,46,297.0,11,27.0,46,25.090909090900002,1,0,3
64,PD Collingwood,6,14,100.0,4,25.0,14,21.0,0,0,1
65,TL Suman,11,25,195.0,7,inf,25,21.428571428599998,0,0,1
66,P Suyal,5,16,140.0,2,inf,16,48.0,0,0,1
67,CH Morris,48,168,1230.0,58,21.067067307692305,168,17.3793103448,2,0,0
68,S Gopal,6,19,153.0,4,inf,19,28.5,0,0,1
69,DB Ravi Teja,2,3,28.0,1,inf,3,18.0,0,0,1
70,P Sahu,5,17,144.0,1,144.0,17,102.0,0,0,1
71,Washington Sundar,10,30,183.0,6,30.5,30,30.0,0,0,1
72,R Sathish,14,23,227.0,5,inf,23,27.6,0,0,1
73,IK Pathan,101,338,2569.0,90,inf,338,22.5333333333,0,0,2
74,AC Gilchrist,1,0,0.0,1,0.0,0,0.0,0,0,1
75,M Morkel,70,271,2005.0,86,inf,271,18.9069767442,3,0,2
76,ST Jayasuriya,21,49,375.0,15,27.45,49,19.6,1,0,3
77,D Wiese,14,46,390.0,15,inf,46,18.4,0,0,3
78,Ankit Soni,6,18,141.0,3,47.0,18,36.0,0,0,1
79,SW Tait,21,82,557.0,24,36.23863636363636,82,20.5,1,0,3
80,Anureet Singh,19,63,559.0,19,inf,63,19.894736842100002,0,0,3
81,A Uniyal,2,6,64.0,2,32.0,6,18.0,0,0,1
82,LMP Simmons,1,3,34.0,1,34.0,3,18.0,0,0,1
83,D du Preez,2,7,55.0,4,13.75,7,10.5,0,0,1
84,PV Tambe,33,110,834.0,17,56.82083333333333,110,38.823529411799996,0,0,0
85,RE van der Merwe,21,73,486.0,18,25.9,73,24.3333333333,0,0,3
86,KV Sharma,55,169,1311.0,41,56.9273015873016,169,24.7317073171,0,1,0
87,S Narwal,6,18,195.0,6,inf,18,18.0,1,0,1
88,B Akhil,13,31,235.0,6,inf,31,31.0,0,0,1
89,KA Pollard,81,200,1688.0,58,inf,200,20.6896551724,2,0,0
90,MJ Henry,2,5,70.0,2,35.0,5,15.0,0,0,1
91,SR Watson,94,308,2328.0,96,27.317486348722053,308,19.25,2,0,2
92,NLTC Perera,36,114,998.0,36,inf,114,19.0,0,0,0
93,Harmeet Singh (2),1,4,33.0,1,33.0,4,24.0,0,0,1
94,R McLaren,18,59,520.0,14,36.1,59,25.285714285700003,0,0,3
95,KJ Abbott,5,16,170.0,2,85.0,16,48.0,0,0,1
96,VR Aaron,40,141,1151.0,39,43.14583333333334,141,21.6923076923,0,0,0
97,MP Stoinis,12,33,295.0,11,36.611111111111114,33,18.0,1,0,3
98,AA Chavan,13,41,318.0,6,inf,41,41.0,0,0,3
