Pos,Player,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Cluster_num
1,JA Morkel,67,29,975.0,73.0,29.1473544973545,673,1.44873699851,0,3,61,55,2
2,T Thushara,4,2,12.0,8.0,6.0,18,0.666666666667,0,0,0,0,1
3,V Sehwag,104,15,2728.0,122.0,30.29581997863248,1710,1.59532163743,2,16,334,106,0
4,CR Brathwaite,8,2,95.0,34.0,14.3,51,1.8627450980400002,0,0,8,8,1
5,Shivam Sharma,2,1,5.0,4.0,5.0,3,1.6666666666699999,0,0,1,0,1
6,MJ Guptill,10,2,189.0,50.0,22.7,142,1.33098591549,0,1,20,8,1
7,GB Hogg,4,2,22.0,13.0,inf,22,1.0,0,0,1,0,1
8,GD McGrath,2,1,4.0,4.0,4.0,5,0.8,0,0,1,0,1
9,CK Kapugedera,3,0,16.0,8.0,5.333333333333333,21,0.761904761905,0,0,0,0,1
10,A Singh,5,3,2.0,1.0,inf,9,0.222222222222,0,0,0,0,1
11,CRD Fernando,2,1,4.0,2.0,inf,3,1.33333333333,0,0,0,0,1
12,M Kartik,14,9,113.0,21.0,inf,106,1.06603773585,0,0,7,1,1
13,RE Levi,6,1,83.0,50.0,16.6,70,1.18571428571,0,1,10,4,1
14,MJ Lumb,12,5,278.0,83.0,23.16666666666667,187,1.48663101604,0,1,45,6,1
15,Iqbal Abdulla,13,12,88.0,33.0,,77,1.14285714286,0,0,9,1,1
16,SK Warne,27,11,198.0,34.0,11.333333333333336,209,0.9473684210529999,0,0,14,6,1
17,RV Uthappa,143,39,3778.0,87.0,35.845119047619036,2815,1.34209591474,0,22,377,125,4
18,MC Henriques,50,24,969.0,74.0,36.19285714285714,743,1.30417227456,0,5,87,27,2
19,S Nadeem,16,6,26.0,6.0,,69,0.376811594203,0,0,1,0,1
20,Kamran Khan,1,0,3.0,3.0,3.0,5,0.6,0,0,0,0,1
21,KW Richardson,4,2,36.0,26.0,inf,39,0.923076923077,0,0,2,1,1
22,PC Valthaty,23,1,505.0,120.0,12.403846153846152,412,1.22572815534,1,2,61,20,3
23,Umar Gul,4,1,39.0,24.0,13.0,18,2.16666666667,0,0,1,5,1
24,SW Billings,10,0,226.0,55.0,22.5,163,1.3865030674799999,0,2,23,5,1
25,B Chipli,21,7,280.0,61.0,inf,248,1.12903225806,0,1,28,7,3
26,Jaskaran Singh,4,2,8.0,4.0,4.0,11,0.7272727272730001,0,0,0,0,1
27,B Lee,19,9,124.0,25.0,13.0,95,1.3052631578899998,0,0,8,8,1
28,AM Nayar,50,16,672.0,45.0,20.785941043083906,557,1.2064631956899998,0,0,55,20,3
29,PP Ojha,19,9,16.0,3.0,2.222222222222222,41,0.39024390243900003,0,0,0,0,1
30,DL Chahar,1,0,14.0,14.0,14.0,6,2.33333333333,0,0,0,2,1
31,JH Kallis,95,16,2427.0,89.0,30.599560162060165,2193,1.1067031463700001,0,17,255,44,0
32,MM Patel,12,8,39.0,23.0,,40,0.975,0,0,5,0,1
